sentence,relation,head,head_offset,tail,tail_offset
要激活虚拟环境，以Python 3.7为例，执行以下命令。,版本,Python ,9,3.7,16
要激活虚拟环境，以Python 3.7为例，执行以下命令。,创建或使用关联,命令,26,虚拟环境,3
自动安装脚本会为MindSpore创建名为`mindspore_pyXX`的虚拟环境。其中`XX`为Python版本，如Python 3.7则虚拟环境名为`mindspore_py37`。执行以下命令查看所有虚拟环境。,使用安装,脚本,4,MindSpore,8
自动安装脚本会为MindSpore创建名为`mindspore_pyXX`的虚拟环境。其中`XX`为Python版本，如Python 3.7则虚拟环境名为`mindspore_py37`。执行以下命令查看所有虚拟环境。,版本,Python ,60,3.7,67
自动安装脚本会为MindSpore创建名为`mindspore_pyXX`的虚拟环境。其中`XX`为Python版本，如Python 3.7则虚拟环境名为`mindspore_py37`。执行以下命令查看所有虚拟环境。,创建或使用关联,命令,98,虚拟环境,104
在脚本执行完成后，需要重新打开终端窗口以使环境变量生效。,创建或使用关联,终端窗口,15,环境变量,21
- 通过Conda安装MindSpore Ascend 310版本。,工具安装,Conda,4,MindSpore Ascend,11
- 通过Conda安装MindSpore Ascend 310版本。,版本,MindSpore Ascend,11,310,28
#NAME?,工具安装,Conda,4,MindSpore,11
#NAME?,工具安装,GCC,20,MindSpore,4
#NAME?,工具安装,gmp,24,MindSpore,4
\# 如需指定Python和MindSpore版本，以Python 3.9和MindSpore 1.6.0为例,版本,Python ,26,3.9,33
\# 如需指定Python和MindSpore版本，以Python 3.9和MindSpore 1.6.0为例,版本,MindSpore ,37,1.6.0,47
\# 默认安装Python 3.7以及最新版本的MindSpore,版本,Python ,6,3.7,13
wget https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/euleros-ascend-conda.sh,编译安装,wget ,0,mindspore,23
wget https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/euleros-ascend-conda.sh,编译安装,wget ,0,mindspore,33
使用以下命令获取自动安装脚本并执行。自动安装脚本仅支持安装MindSpore>=1.6.0。,创建或使用关联,命令,4,脚本,12
使用以下命令获取自动安装脚本并执行。自动安装脚本仅支持安装MindSpore>=1.6.0。,使用安装,脚本,22,MindSpore,29
使用以下命令获取自动安装脚本并执行。自动安装脚本仅支持安装MindSpore>=1.6.0。,版本,MindSpore,29,1.6.0,40
在使用自动安装脚本之前，需要确保系统正确安装了昇腾AI处理器配套软件包。如果没有安装，请先参考[安装昇腾AI处理器配套软件包](\#安装昇腾ai处理器配套软件包)小节进行安装。,使用安装,脚本,7,昇腾AI处理器配套软件包,23
- 如果您的系统是Ubuntu 18.04/CentOS 7.6，或者已经安装了部分依赖，如CUDA，Conda，GCC等，则推荐参照[手动安装](\#手动安装)小节的安装步骤手动安装。,上面安装,Ubuntu 18.04,9,CUDA,46
- 如果您的系统是Ubuntu 18.04/CentOS 7.6，或者已经安装了部分依赖，如CUDA，Conda，GCC等，则推荐参照[手动安装](\#手动安装)小节的安装步骤手动安装。,上面安装,Ubuntu 18.04,9,Conda,51
- 如果您的系统是Ubuntu 18.04/CentOS 7.6，或者已经安装了部分依赖，如CUDA，Conda，GCC等，则推荐参照[手动安装](\#手动安装)小节的安装步骤手动安装。,上面安装,Ubuntu 18.04,9,GCC,57
- 如果您的系统是Ubuntu 18.04/CentOS 7.6，或者已经安装了部分依赖，如CUDA，Conda，GCC等，则推荐参照[手动安装](\#手动安装)小节的安装步骤手动安装。,上面安装,CentOS 7.6,22,CUDA,46
- 如果您的系统是Ubuntu 18.04/CentOS 7.6，或者已经安装了部分依赖，如CUDA，Conda，GCC等，则推荐参照[手动安装](\#手动安装)小节的安装步骤手动安装。,上面安装,CentOS 7.6,22,Conda,51
- 如果您的系统是Ubuntu 18.04/CentOS 7.6，或者已经安装了部分依赖，如CUDA，Conda，GCC等，则推荐参照[手动安装](\#手动安装)小节的安装步骤手动安装。,上面安装,CentOS 7.6,22,GCC,57
- 如果想在一个已经配置好昇腾AI处理器配套软件包的EulerOS 2.8上通过Conda安装MindSpore，可以使用[自动安装脚本](https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/euleros-ascend-conda.sh)进行一键式安装，参见[自动安装](\#自动安装)小节。自动安装脚本会安装MindSpore及其所需的依赖。,上面安装,EulerOS 2.8,26,昇腾AI处理器配套软件包,13
- 如果想在一个已经配置好昇腾AI处理器配套软件包的EulerOS 2.8上通过Conda安装MindSpore，可以使用[自动安装脚本](https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/euleros-ascend-conda.sh)进行一键式安装，参见[自动安装](\#自动安装)小节。自动安装脚本会安装MindSpore及其所需的依赖。,工具安装,Conda,40,MindSpore,47
- 如果想在一个已经配置好昇腾AI处理器配套软件包的EulerOS 2.8上通过Conda安装MindSpore，可以使用[自动安装脚本](https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/euleros-ascend-conda.sh)进行一键式安装，参见[自动安装](\#自动安装)小节。自动安装脚本会安装MindSpore及其所需的依赖。,详情参考,脚本,66,https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/euleros-ascend-conda.sh,70
- 如果想在一个已经配置好昇腾AI处理器配套软件包的EulerOS 2.8上通过Conda安装MindSpore，可以使用[自动安装脚本](https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/euleros-ascend-conda.sh)进行一键式安装，参见[自动安装](\#自动安装)小节。自动安装脚本会安装MindSpore及其所需的依赖。,使用安装,脚本,187,MindSpore,192
本文档介绍如何在Ascend 310环境的Linux系统上，使用Conda方式快速安装MindSpore，Ascend 310版本仅支持推理。,上面安装,Linux,21,Ascend ,8
本文档介绍如何在Ascend 310环境的Linux系统上，使用Conda方式快速安装MindSpore，Ascend 310版本仅支持推理。,版本,Ascend ,8,310,15
本文档介绍如何在Ascend 310环境的Linux系统上，使用Conda方式快速安装MindSpore，Ascend 310版本仅支持推理。,安装,Conda方式,32,MindSpore,43
本文档介绍如何在Ascend 310环境的Linux系统上，使用Conda方式快速安装MindSpore，Ascend 310版本仅支持推理。,安装,Conda方式,32,Ascend ,53
本文档介绍如何在Ascend 310环境的Linux系统上，使用Conda方式快速安装MindSpore，Ascend 310版本仅支持推理。,版本,Ascend ,53,310,60
[Conda](https://docs.conda.io/en/latest/)是一个开源跨平台语言无关的包管理与环境管理系统，允许用户方便地安装不同版本的二进制软件包与该计算平台需要的所有库。,使用参考,Conda,1,https://docs.conda.io/en/latest/,8
[Conda](https://docs.conda.io/en/latest/)是一个开源跨平台语言无关的包管理与环境管理系统，允许用户方便地安装不同版本的二进制软件包与该计算平台需要的所有库。,进行安装,用户,67,二进制软件包,79
- [Conda方式安装MindSpore Ascend 310版本](\#conda方式安装mindspore-ascend-310版本),安装,Conda方式,3,MindSpore Ascend,12
- [Conda方式安装MindSpore Ascend 310版本](\#conda方式安装mindspore-ascend-310版本),版本,MindSpore Ascend,12,310,29
- [Conda方式安装MindSpore Ascend 310版本](\#conda方式安装mindspore-ascend-310版本),安装,conda方式,37,mindspore-ascend,46
- [Conda方式安装MindSpore Ascend 310版本](\#conda方式安装mindspore-ascend-310版本),版本,mindspore-ascend,46,310,63
\# Conda方式安装MindSpore Ascend 310版本,安装,Conda方式,2,MindSpore Ascend,11
\# Conda方式安装MindSpore Ascend 310版本,版本,MindSpore Ascend,11,310,28
"创建目录放置样例代码工程，例如`/home/HwHiAiUser/Ascend/ascend-toolkit/20.0.RC1/acllib_linux.arm64/sample/acl_execute_model/ascend310_single_op_sample`，代码可以从[官网示例下载](https://obs.dualstack.cn-north-4.myhuaweicloud.com/mindspore-website/sample_resources/ascend310_single_op_sample.zip)获取，这是一个`[1\, 2\, 3\, 4]`与`[2\, 3\, 4\, 5]`相加的简单样例，代码工程目录结构如下:",详情参考,代码,136,https://obs.dualstack.cn-north-4.myhuaweicloud.com/mindspore-website/sample_resources/ascend310_single_op_sample.zip,150
安装好MindSpore之后，需要导出Runtime相关环境变量，下述命令中`LOCAL_ASCEND=/usr/local/Ascend`的`/usr/local/Ascend`表示配套软件包的安装路径，需注意将其改为配套软件包的实际安装路径。,使用安装,命令,35,MindSpore,3
安装好MindSpore之后，需要导出Runtime相关环境变量，下述命令中`LOCAL_ASCEND=/usr/local/Ascend`的`/usr/local/Ascend`表示配套软件包的安装路径，需注意将其改为配套软件包的实际安装路径。,创建或使用关联,命令,35,环境变量,28
wget https://ms-release.obs.cn-north-4.myhuaweicloud.com/${MS_VERSION}/MindSpore/ascend/{arch}/mindspore_ascend-${MS_VERSION/-/}-linux_aarch64.tar.gz --no-check-certificate,编译安装,wget,0,MindSpore,71
\# aarch64,版本,aarch,2,64,7
然后根据系统架构及Python版本执行如下命令安装MindSpore。,工具安装,Python,9,MindSpore,25
然后根据系统架构及Python版本执行如下命令安装MindSpore。,使用安装,命令,21,MindSpore,25
首先参考[版本列表](https://www.mindspore.cn/versions)选择想要安装的MindSpore版本，并进行SHA-256完整性校验。以1.7.0版本为例，执行以下命令。,详情参考,版本,5,https://www.mindspore.cn/versions,11
首先参考[版本列表](https://www.mindspore.cn/versions)选择想要安装的MindSpore版本，并进行SHA-256完整性校验。以1.7.0版本为例，执行以下命令。,使用安装,命令,95,MindSpore,52
首先参考[版本列表](https://www.mindspore.cn/versions)选择想要安装的MindSpore版本，并进行SHA-256完整性校验。以1.7.0版本为例，执行以下命令。,版本,MindSpore,52,1.7.0,81
    执行安装脚本安装CMake，默认安装到`/usr/local`目录下。,使用安装,脚本,8,CMake,12
    \# aarch64使用,版本,aarch,6,64,11
- Ubuntu 18.04可以通过以下命令安装[CMake](https://cmake.org/)。,使用安装,命令,20,CMake,25
- Ubuntu 18.04可以通过以下命令安装[CMake](https://cmake.org/)。,使用参考,CMake,25,https://cmake.org/,32
    安装完成后，需要使用如下命令切换到GCC 7。,使用安装,命令,16,GCC ,21
    安装完成后，需要使用如下命令切换到GCC 7。,版本,GCC ,21,7,25
安装昇腾AI处理器配套软件包提供的whl包，whl包随配套软件包发布。如果之前安装过昇腾AI处理器配套软件包，需要先使用如下命令卸载相应的包。,工具安装,昇腾AI处理器配套软件包,2,whl,17
安装昇腾AI处理器配套软件包提供的whl包，whl包随配套软件包发布。如果之前安装过昇腾AI处理器配套软件包，需要先使用如下命令卸载相应的包。,使用安装,命令,62,昇腾AI处理器配套软件包,42
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,使用,用户,37,权限,40
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,进行安装,用户,37,昇腾AI处理器配套软件包,44
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,使用,用户,37,权限,64
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,使用,root用户,69,权限,40
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,进行安装,root用户,69,昇腾AI处理器配套软件包,44
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,使用,root用户,69,权限,64
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,使用,用户,78,权限,40
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,进行安装,用户,78,昇腾AI处理器配套软件包,44
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,使用,用户,78,权限,64
详细安装方法请参考[Ascend Data Center Solution 22.0.RC1安装指引文档](https://support.huawei.com/enterprise/zh/doc/EDOC1100246310)。,版本,Ascend Data Center Solution,10,22,38
详细安装方法请参考[Ascend Data Center Solution 22.0.RC1安装指引文档](https://support.huawei.com/enterprise/zh/doc/EDOC1100246310)。,使用参考,Ascend Data Center Solution,10,https://support.huawei.com/enterprise/zh/doc/EDOC1100246310,54
如果您的环境为ARM架构，请确认当前使用的Python配套的pip版本>=19.3。使用以下命令升级pip。,工具安装,Python,21,pip,30
如果您的环境为ARM架构，请确认当前使用的Python配套的pip版本>=19.3。使用以下命令升级pip。,版本,pip,30,19.3,37
如果您的环境为ARM架构，请确认当前使用的Python配套的pip版本>=19.3。使用以下命令升级pip。,使用安装,命令,46,pip,50
可以通过以下命令查看Python版本。,使用安装,命令,6,Python,10
创建虚拟环境，以Python 3.7.5为例：,版本,Python ,8,3.7.5,15
安装完成后，可以为Conda设置清华源加速下载，参考[此处](https://mirrors.tuna.tsinghua.edu.cn/help/anaconda/)。,使用安装,清华源,16,Conda,9
安装完成后，可以为Conda设置清华源加速下载，参考[此处](https://mirrors.tuna.tsinghua.edu.cn/help/anaconda/)。,详情参考,清华源,16,https://mirrors.tuna.tsinghua.edu.cn/help/anaconda/,31
[Python](https://www.python.org/)可通过Conda进行安装。,工具安装,Conda,36,Python,1
[Python](https://www.python.org/)可通过Conda进行安装。,使用参考,Python,1,https://www.python.org/,9
|[CMake](\#安装cmake)|3.18.3及以上|编译构建MindSpore的工具|,版本,cmake,12,3.18.3,19
|[gmp](\#安装gmp)|6.1.2|MindSpore使用的多精度算术库|,版本,gmp,10,6.1.2,15
|[gmp](\#安装gmp)|6.1.2|MindSpore使用的多精度算术库|,使用安装,多精度算术库,33,MindSpore,21
|[GCC](\#安装gcc)|7.3.0|用于编译MindSpore的C++编译器|,工具安装,C++,35,MindSpore,25
|[GCC](\#安装gcc)|7.3.0|用于编译MindSpore的C++编译器|,版本,gcc,10,7.3.0,15
|[Python](\#安装python)|3.7-3.9|MindSpore的使用依赖Python环境|,工具安装,Python,43,MindSpore,29
|[Python](\#安装python)|3.7-3.9|MindSpore的使用依赖Python环境|,版本,python,13,3.7,21
|[Python](\#安装python)|3.7-3.9|MindSpore的使用依赖Python环境|,版本,python,13,3.9,25
|Ubuntu 18.04/CentOS 7.6/EulerOS 2.8|-|编译和运行MindSpore的操作系统|,上面安装,Ubuntu 18.04,1,MindSpore,44
|Ubuntu 18.04/CentOS 7.6/EulerOS 2.8|-|编译和运行MindSpore的操作系统|,上面安装,CentOS 7.6,14,MindSpore,44
|Ubuntu 18.04/CentOS 7.6/EulerOS 2.8|-|编译和运行MindSpore的操作系统|,上面安装,EulerOS 2.8,25,MindSpore,44
下表列出了安装MindSpore所需的系统环境和第三方依赖。,使用安装,系统环境,19,MindSpore,7
下表列出了安装MindSpore所需的系统环境和第三方依赖。,使用安装,依赖,27,MindSpore,7
\#\# 安装MindSpore与依赖软件,使用安装,依赖,15,MindSpore,5
本文档介绍如何在Ascend 310环境的Linux系统上，使用二进制包方式快速安装MindSpore，Ascend 310版本仅支持推理。,上面安装,Linux,21,Ascend,8
本文档介绍如何在Ascend 310环境的Linux系统上，使用二进制包方式快速安装MindSpore，Ascend 310版本仅支持推理。,版本,Ascend,8,310,15
本文档介绍如何在Ascend 310环境的Linux系统上，使用二进制包方式快速安装MindSpore，Ascend 310版本仅支持推理。,安装,二进制包方式,32,MindSpore,42
本文档介绍如何在Ascend 310环境的Linux系统上，使用二进制包方式快速安装MindSpore，Ascend 310版本仅支持推理。,安装,二进制包方式,32,Ascend,52
本文档介绍如何在Ascend 310环境的Linux系统上，使用二进制包方式快速安装MindSpore，Ascend 310版本仅支持推理。,版本,Ascend,52,310,59
    - [安装MindSpore与依赖软件](\#安装mindspore与依赖软件),使用安装,依赖,19,MindSpore,9
    - [安装MindSpore与依赖软件](\#安装mindspore与依赖软件),使用安装,依赖,38,mindspore,28
- [二进制包方式安装MindSpore Ascend 310版本](\#二进制包方式安装mindspore-ascend-310版本),安装,二进制包方式,3,MindSpore Ascend,11
- [二进制包方式安装MindSpore Ascend 310版本](\#二进制包方式安装mindspore-ascend-310版本),版本,MindSpore Ascend,11,310,28
- [二进制包方式安装MindSpore Ascend 310版本](\#二进制包方式安装mindspore-ascend-310版本),安装,二进制包方式,36,mindspore-ascend,44
- [二进制包方式安装MindSpore Ascend 310版本](\#二进制包方式安装mindspore-ascend-310版本),版本,mindspore-ascend,44,310,61
\# 二进制包方式安装MindSpore Ascend 310版本,安装,二进制包方式,2,MindSpore Ascend,10
\# 二进制包方式安装MindSpore Ascend 310版本,版本,MindSpore Ascend,10,310,27
    在源码根目录下执行编译脚本`build.sh`成功后，在`output`目录下找到编译生成的whl安装包，然后执行命令进行升级。,使用安装,源码,5,whl,50
    在源码根目录下执行编译脚本`build.sh`成功后，在`output`目录下找到编译生成的whl安装包，然后执行命令进行升级。,使用安装,命令,61,whl,50
当需要升级MindSpore版本时，可执行如下命令：,使用安装,命令,23,MindSpore,5
在联网状态下，安装whl包时会自动下载MindSpore安装包的依赖项（依赖项详情参见[setup.py](https://gitee.com/mindspore/mindspore/blob/r1.7/setup.py)中的required_package），其余情况需自行安装。运行模型时，需要根据[ModelZoo](https://gitee.com/mindspore/models/tree/r1.7/)中不同模型指定的requirements.txt安装额外依赖，常见依赖可以参考[requirements.txt](https://gitee.com/mindspore/mindspore/blob/r1.7/requirements.txt)。,工具安装,whl,9,MindSpore,19
在联网状态下，安装whl包时会自动下载MindSpore安装包的依赖项（依赖项详情参见[setup.py](https://gitee.com/mindspore/mindspore/blob/r1.7/setup.py)中的required_package），其余情况需自行安装。运行模型时，需要根据[ModelZoo](https://gitee.com/mindspore/models/tree/r1.7/)中不同模型指定的requirements.txt安装额外依赖，常见依赖可以参考[requirements.txt](https://gitee.com/mindspore/mindspore/blob/r1.7/requirements.txt)。,详情参考,依赖,36,https://gitee.com/mindspore/mindspore/blob/r1.7/setup.py,54
在联网状态下，安装whl包时会自动下载MindSpore安装包的依赖项（依赖项详情参见[setup.py](https://gitee.com/mindspore/mindspore/blob/r1.7/setup.py)中的required_package），其余情况需自行安装。运行模型时，需要根据[ModelZoo](https://gitee.com/mindspore/models/tree/r1.7/)中不同模型指定的requirements.txt安装额外依赖，常见依赖可以参考[requirements.txt](https://gitee.com/mindspore/mindspore/blob/r1.7/requirements.txt)。,使用参考,ModelZoo,152,https://gitee.com/mindspore/models/tree/r1.7/,162
在联网状态下，安装whl包时会自动下载MindSpore安装包的依赖项（依赖项详情参见[setup.py](https://gitee.com/mindspore/mindspore/blob/r1.7/setup.py)中的required_package），其余情况需自行安装。运行模型时，需要根据[ModelZoo](https://gitee.com/mindspore/models/tree/r1.7/)中不同模型指定的requirements.txt安装额外依赖，常见依赖可以参考[requirements.txt](https://gitee.com/mindspore/mindspore/blob/r1.7/requirements.txt)。,详情参考,依赖,241,https://gitee.com/mindspore/mindspore/blob/r1.7/requirements.txt,266
- 默认从github下载依赖源码，当-S选项设置为`on`时，从对应的gitee镜像下载。,创建或使用关联,源码,15,依赖,13
进入MindSpore根目录，然后执行编译脚本。,使用安装,脚本,21,MindSpore,2
\#\# 从代码仓下载源码,创建或使用关联,代码,4,源码,9
可以通过以下命令编译安装[Open MPI](https://www.open-mpi.org/)。,使用安装,命令,6,Open MPI,13
可以通过以下命令编译安装[Open MPI](https://www.open-mpi.org/)。,使用参考,Open MPI,13,https://www.open-mpi.org/,23
    最后需要将CMake添加到`PATH`环境变量中。如果使用默认安装目录执行以下命令，其他安装目录需要做相应修改。,使用安装,命令,43,CMake,9
    执行安装脚本安装CMake，默认安装到`/usr/local`目录下。,使用安装,脚本,8,CMake,12
    \# aarch64使用,版本,aarch,6,64,11
- Ubuntu 18.04可以通过以下命令安装[CMake](https://cmake.org/)。,使用安装,命令,20,CMake,25
- Ubuntu 18.04可以通过以下命令安装[CMake](https://cmake.org/)。,使用参考,CMake,25,https://cmake.org/,32
#NAME?,使用安装,命令,25,EulerOS,2
#NAME?,使用安装,命令,25,OpenEuler,10
    安装完成后，需要使用如下命令切换到GCC 7。,使用安装,命令,16,GCC ,21
    安装完成后，需要使用如下命令切换到GCC 7。,版本,GCC ,21,7,25
安装昇腾AI处理器配套软件包提供的whl包，whl包随配套软件包发布。如果之前安装过昇腾AI处理器配套软件包，需要先使用如下命令卸载相应的包。,工具安装,昇腾AI处理器配套软件包,2,whl,17
安装昇腾AI处理器配套软件包提供的whl包，whl包随配套软件包发布。如果之前安装过昇腾AI处理器配套软件包，需要先使用如下命令卸载相应的包。,使用安装,命令,62,昇腾AI处理器配套软件包,42
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,使用,用户,37,权限,40
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,进行安装,用户,37,昇腾AI处理器配套软件包,44
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,使用,用户,37,权限,64
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,使用,root用户,69,权限,40
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,进行安装,root用户,69,昇腾AI处理器配套软件包,44
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,使用,root用户,69,权限,64
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,使用,用户,78,权限,40
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,进行安装,用户,78,昇腾AI处理器配套软件包,44
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,使用,用户,78,权限,64
详细安装方法请参考[Ascend Data Center Solution 22.0.RC1安装指引文档](https://support.huawei.com/enterprise/zh/doc/EDOC1100246310)。,版本,Ascend Data Center Solution,10,22,38
详细安装方法请参考[Ascend Data Center Solution 22.0.RC1安装指引文档](https://support.huawei.com/enterprise/zh/doc/EDOC1100246310)。,使用参考,Ascend Data Center Solution,10,https://support.huawei.com/enterprise/zh/doc/EDOC1100246310,54
可以通过以下命令查看Python版本。,使用安装,命令,6,Python,10
创建虚拟环境，以Python 3.7.5为例：,版本,Python ,8,3.7.5,15
安装完成后，可以为Conda设置清华源加速下载，参考[此处](https://mirrors.tuna.tsinghua.edu.cn/help/anaconda/)。,使用安装,清华源,16,Conda,9
安装完成后，可以为Conda设置清华源加速下载，参考[此处](https://mirrors.tuna.tsinghua.edu.cn/help/anaconda/)。,详情参考,清华源,16,https://mirrors.tuna.tsinghua.edu.cn/help/anaconda/,31
[Python](https://www.python.org/)可通过Conda进行安装。,使用参考,Python,1,https://www.python.org/,9
[Python](https://www.python.org/)可通过Conda进行安装。,工具安装,Conda,36,Python,1
|[GCC](\#安装gcc)|7.3.0|用于编译MindSpore的C++编译器|,版本,gcc,10,7.3.0,15
|[GCC](\#安装gcc)|7.3.0|用于编译MindSpore的C++编译器|,工具安装,C++,35,MindSpore,25
|[setuptools](\#安装wheel和setuptools)|44.0及以上|MindSpore使用的Python包管理工具|,创建或使用关联,wheel,17,setuptools,23
|[setuptools](\#安装wheel和setuptools)|44.0及以上|MindSpore使用的Python包管理工具|,版本,wheel,17,44,35
|[setuptools](\#安装wheel和setuptools)|44.0及以上|MindSpore使用的Python包管理工具|,版本,setuptools,23,44,35
|[setuptools](\#安装wheel和setuptools)|44.0及以上|MindSpore使用的Python包管理工具|,工具安装,Python,55,MindSpore,43
|[wheel](\#安装wheel和setuptools)|0.32.0及以上|MindSpore使用的Python打包工具|,创建或使用关联,wheel,12,setuptools,18
|[wheel](\#安装wheel和setuptools)|0.32.0及以上|MindSpore使用的Python打包工具|,版本,wheel,12,0.32.0,30
|[wheel](\#安装wheel和setuptools)|0.32.0及以上|MindSpore使用的Python打包工具|,版本,setuptools,18,0.32.0,30
|[wheel](\#安装wheel和setuptools)|0.32.0及以上|MindSpore使用的Python打包工具|,工具安装,Python,52,MindSpore,40
|[昇腾AI处理器配套软件包](\#安装昇腾ai处理器配套软件包)|-|MindSpore使用的Ascend平台AI计算库|,工具安装,昇腾AI处理器配套软件包,2,MindSpore,35
|[Python](\#安装python)|3.7-3.9|MindSpore的使用依赖Python环境|,工具安装,Python,43,MindSpore,29
|[Python](\#安装python)|3.7-3.9|MindSpore的使用依赖Python环境|,版本,python,13,3.7,21
|[Python](\#安装python)|3.7-3.9|MindSpore的使用依赖Python环境|,版本,python,13,3.9,25
|Ubuntu 18.04/CentOS 7.6/EulerOS 2.8/OpenEuler 20.03/KylinV10 SP1|-|编译和运行MindSpore的操作系统|,上面安装,Ubuntu 18.04,1,MindSpore,73
|Ubuntu 18.04/CentOS 7.6/EulerOS 2.8/OpenEuler 20.03/KylinV10 SP1|-|编译和运行MindSpore的操作系统|,上面安装,CentOS 7.6,14,MindSpore,73
|Ubuntu 18.04/CentOS 7.6/EulerOS 2.8/OpenEuler 20.03/KylinV10 SP1|-|编译和运行MindSpore的操作系统|,上面安装,OpenEuler 20.03,37,MindSpore,73
|Ubuntu 18.04/CentOS 7.6/EulerOS 2.8/OpenEuler 20.03/KylinV10 SP1|-|编译和运行MindSpore的操作系统|,上面安装,KylinV10 SP1,53,MindSpore,73
|Ubuntu 18.04/CentOS 7.6/EulerOS 2.8/OpenEuler 20.03/KylinV10 SP1|-|编译和运行MindSpore的操作系统|,上面安装,EulerOS 2.8,25,MindSpore,73
下表列出了编译安装MindSpore所需的系统环境和第三方依赖。,安装,编译安装,5,MindSpore,9
下表列出了编译安装MindSpore所需的系统环境和第三方依赖。,使用安装,系统环境,21,MindSpore,9
下表列出了编译安装MindSpore所需的系统环境和第三方依赖。,使用安装,依赖,29,MindSpore,9
现在您可以跳转到[从代码仓下载源码](\#从代码仓下载源码)小节开始下载编译MindSpore。,创建或使用关联,代码,10,源码,15
现在您可以跳转到[从代码仓下载源码](\#从代码仓下载源码)小节开始下载编译MindSpore。,创建或使用关联,代码,21,源码,26
现在您可以跳转到[从代码仓下载源码](\#从代码仓下载源码)小节开始下载编译MindSpore。,安装,源码,26,MindSpore,37
以Python 3.7为例，执行以下命令激活虚拟环境。,版本,Python ,1,3.7,8
以Python 3.7为例，执行以下命令激活虚拟环境。,创建或使用关联,命令,18,虚拟环境,22
